place,lat,lon,address
하고수동해수욕장,33.4973684,126.9460835,제주특별자치도 제주시 우도면 연평리 2609
공항,33.4991412,126.4940957,제주특별자치도 제주시 용담2동 1869-2
애월 해안도로,33.4796117,126.4164854,제주특별자치도 제주시 애월읍 하귀1리 709
비자림,33.4804255,126.8071463,제주특별자치도 제주시 구좌읍 평대리 3017
교래자연휴양림,33.4374471,126.6618011,제주특별자치도 제주시 조천읍 교래리 산119
이호해수욕장,33.4851838,126.4605029,제주특별자치도 제주시 노형동 3744-4
제주허브동산,33.324744,126.8152373,제주특별자치도 서귀포시 표선면 표선리 2530
한라수목원,33.4695392,126.4907231,제주특별자치도 제주시 연동 996-2
절물자연휴양림 ,33.4243152,126.631174,제주특별자치도 제주시 조천읍 교래리 산137-29
협재해수욕장,33.3807275,126.2296422,제주특별자치도 제주시 한림읍 금능리 1188
용왕난드르향토음식,33.2354175,126.3669632,제주특별자치도 서귀포시 안덕면 창천리 876-11
안거리밖거리,33.2442563,126.5641243,제주특별자치도 서귀포시 송산동 584-3
협재 해조대팬션 ,33.3938012,126.2405959,제주특별자치도 제주시 한림읍 협재리 1750-4
코코비치 리조트,33.2410482,126.5316374,제주특별자치도 서귀포시 대륜동 1616-8
비스타케이월드컵,33.2519324,126.5097695,제주특별자치도 서귀포시 대륜동 745-1
제주공항,33.4865985,126.5135292,제주특별자치도 제주시 오라동 1469-7
우도,33.501354,126.9576638,제주특별자치도 제주시 우도면 연평리 1554-1
제주당처물동굴,33.5573044,126.7855995,제주특별자치도 제주시 구좌읍 월정리 803
동복어촌체험장,33.5556929,126.7188708,제주특별자치도 제주시 구좌읍 동복리 687-7
